ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
1.2998505751286162	38.308	9.75564681724846	19.26899383983573	14.574948665297741	0.18409138260570002	19	1534	103	35.0	108.0	85.0	6	2.0	2.0	1.0	0	0	0.04647016525268555	10000	6.449949741363525	
inf	42.396	10.637860082304528	22.160493827160494	16.765432098765434	0.18409138260570002	20	1549	131	44.0	161.0	122.0	6	2.0	2.0	1.0	0	0	0.051946163177490234	10500	6.501895904541016	
inf	45.528	11.30062630480167	24.542797494780793	18.668058455114824	0.18409138260570002	21	1571	172	43.0	164.0	125.0	5	2.0	2.0	1.0	0	0	0.05512380599975586	11000	6.5570197105407715	
2.7885785109753187	47.856	11.16564417177914	24.721881390593047	18.801635991820042	0.18409138260570002	22	1583	149	43.0	163.0	123.0	6	2.0	2.0	1.0	0	0	0.05628538131713867	11500	6.61330509185791	
1.5507483307098588	51.814	11.886315789473684	27.749473684210525	21.012631578947367	0.18409138260570002	23	1609	146	46.0	190.0	145.0	8	2.0	2.0	1.0	0	0	0.06048989295959473	12000	6.673794984817505	
inf	56.15	12.418556701030928	28.80618556701031	21.857731958762887	0.18409138260570002	24	1625	139	42.0	168.0	130.0	8	2.0	2.0	1.0	0	0	0.0625302791595459	12500	6.736325263977051	
inf	61.546	13.445360824742268	32.865979381443296	24.92577319587629	0.18409138260570002	25	1641	138	51.0	162.0	122.0	9	2.0	2.0	1.0	0	0	0.06830406188964844	13000	6.804629325866699	
12683991.64632668	62.802	13.589690721649484	33.53814432989691	25.40824742268041	0.18409138260570002	26	1657	196	41.0	225.0	171.0	12	2.0	2.0	1.0	0	0	0.07149195671081543	13500	6.876121282577515	
213857809177.08105	65.194	14.076923076923077	35.270270270270274	26.86902286902287	0.18409138260570002	27	1677	185	46.0	238.0	171.0	8	2.0	2.0	1.0	0	0	0.0742344856262207	14000	6.950355768203735	
0.8860541239793277	70.324	15.322381930184806	39.59753593429158	30.17453798767967	0.18409138260570002	28	1691	182	58.0	221.0	168.0	10	2.0	2.0	1.0	0	0	0.0822606086730957	14500	7.032616376876831	
1.2785040267031527	71.082	16.17391304347826	41.49068322981366	31.70186335403727	0.18409138260570002	29	1709	173	55.0	205.0	161.0	10	2.0	2.0	1.0	0	0	0.0852806568145752	15000	7.117897033691406	
1.0657450300839901	71.162	16.39669421487603	41.50413223140496	31.81404958677686	0.18409138260570002	30	1726	210	48.0	218.0	167.0	10	2.0	2.0	1.0	0	0	0.08553099632263184	15500	7.203428030014038	
1.0065751272399422e+16	70.972	16.01440329218107	40.04320987654321	30.775720164609055	0.18409138260570002	31	1741	213	47.0	172.0	135.0	10	2.0	2.0	1.0	0	0	0.0842580795288086	16000	7.287686109542847	
148494210530.2906	71.28	16.43353783231084	43.29447852760736	33.13701431492843	0.18409138260570002	32	1753	223	49.0	234.0	182.0	7	2.0	2.0	1.0	0	0	0.0896310806274414	16500	7.377317190170288	
4.893210402175991e+87	75.112	16.61111111111111	44.70781893004115	34.267489711934154	0.18409138260570002	33	1768	208	53.0	220.0	173.0	7	2.0	2.0	1.0	0	0	0.09086251258850098	17000	7.468179702758789	
6.63260998614914e+24	77.33	16.658536585365855	43.770325203252035	33.80487804878049	0.18409138260570002	34	1777	249	53.0	295.0	221.0	5	2.0	2.0	1.0	0	0	0.09099864959716797	17500	7.559178352355957	
1.1130439977807038	79.01	17.142268041237113	45.41855670103093	35.11340206185567	0.18409138260570002	35	1793	263	53.0	221.0	177.0	5	2.0	2.0	1.0	0	0	0.09435439109802246	18000	7.6535327434539795	
inf	83.456	17.240663900414937	46.27593360995851	35.678423236514526	0.18409138260570002	36	1812	263	54.0	235.0	181.0	7	2.0	2.0	1.0	0	0	0.09357261657714844	18500	7.747105360031128	
0.5194262976165723	83.914	16.757828810020875	46.684759916492695	35.70563674321503	0.18409138260570002	37	1834	263	51.0	326.0	243.0	7	2.0	2.0	1.0	0	0	0.09162759780883789	19000	7.838732957839966	
inf	90.458	17.389795918367348	49.724489795918366	37.953061224489794	0.18409138260570002	38	1845	273	53.0	262.0	197.0	7	2.0	2.0	1.0	0	0	0.09888935089111328	19500	7.937622308731079	
